Taxa	Bin	SF_Jan12_13	SF_Jan12_21	SF_Jan12_24	SF_Jan12_4_1	SF_Jan12_8_1	SF_Jul11_13	SF_Jul11_21	SF_Jul11_24	SF_Jul11_4_1	SF_Jul11_8_1	SF_May12_13	SF_May12_21	SF_May12_24	SF_May12_4_1	SF_May12_8_1	SF_Oct11_13	SF_Oct11_21	SF_Oct11_24	SF_Oct11_4_1	SF_Oct11_8_1
c__Alphaproteobacteria	8_1_Oct_SF_Bin23	0.243756462	0.152897988	0.236291406	0.17156764	0.288598486	0.112485934	0.195635759	0.236881277	0.169119646	0.149236396	0.114275986	0.251739708	0.357416185	0.228253436	0.659546066	0.227878838	0.194674049	0.259574946	0.141428841	7.506051669
c__Alphaproteobacteria	8_1_Oct_SF_Bin68	0.384534997	0.328030043	0.325012191	0.362871437	1.698802513	0.272743971	0.290146219	0.279496743	0.28743914	1.083707189	0.286713997	0.34023548	0.403967614	0.293620775	0.5937647	0.382131372	0.287252424	0.330233849	0.343494088	6.320277786
c__Alphaproteobacteria	8_1_Oct_SF_Bin8	0.466858654	0.145050304	0.188295548	0.149774209	8.178642823	0.105579822	0.163995544	0.183858399	0.142577156	5.421112649	0.10800569	0.203085124	0.275183718	0.191044613	3.573141058	0.190318475	0.159880078	0.206739536	0.12695408	12.67992982
c__Alphaproteobacteria	8_1_Oct_SF_Bin90	0.488811563	0.209872027	0.463720132	0.285372269	0.582040382	0.148731137	0.354907276	0.565306525	0.269505171	0.217591479	0.153574624	0.530754832	0.845752293	0.956198237	5.298799201	0.45840724	0.36075327	0.535157714	0.246248919	5.381542201
c__Alphaproteobacteria	8_1_Oct_SF_Bin92	0.516194711	0.299542949	0.339571628	0.457879253	1.162111722	0.344818634	0.30205271	0.329772884	0.25112572	0.665887568	0.378438772	0.338399284	0.506370947	0.258704455	0.266210121	0.485185287	0.264947345	0.535693002	0.3203977	6.455160995
c__Bathyarchaeia	4_1_July_SF_Bin41	0.22738259	0.035625953	0.063898098	0.443568873	23.37486592	0.060341437	0.049173309	0.056115405	2.253659846	6.138595611	0.054073795	0.060596615	0.204196995	0.734278699	4.531186428	0.1325931	0.089048936	0.07482606	0.15474906	27.43592733
c__Bathyarchaeia	8_1_Jan_SF_Bin101	0.169998257	0.074999909	0.125380453	0.121704329	10.17461848	0.064348845	0.102192948	0.119819371	0.249858341	3.418583225	0.065795191	0.126731647	0.265439126	0.168417984	2.485969931	0.150043879	0.138780095	0.142022099	0.076827215	14.59913381
c__Bathyarchaeia	8_1_Jan_SF_Bin12	0.362773845	0.19402032	0.186997857	0.659992167	8.96563655	0.178941628	0.164850777	0.148677824	3.354191214	2.725304506	0.179600306	0.199421949	0.259339963	0.829160315	1.796000248	0.268548484	0.18321625	0.182994136	0.293222291	9.608081442
c__Bathyarchaeia	8_1_Jan_SF_Bin32	0.166846315	0.069934633	0.118565359	0.132671215	15.19988369	0.068834486	0.094827157	0.109911491	0.304767639	5.445199297	0.072075841	0.117842734	0.22706973	0.201389364	3.636670587	0.163131187	0.119124087	0.132763874	0.07830293	21.89640993
c__Bathyarchaeia	8_1_Jan_SF_Bin46	0.135565301	0.064789008	0.108428688	0.077533996	5.265989376	0.056558561	0.09123437	0.102661868	0.125164761	4.031254263	0.062173756	0.113979735	0.196754458	0.12701939	2.814972973	0.15522334	0.098376127	0.120871936	0.056212068	7.686207327
c__Bathyarchaeia	8_1_Jan_SF_Bin48	0.124510958	0.067064678	0.112101035	0.08325683	5.016213338	0.052442499	0.087357096	0.103195424	0.144312474	1.975071812	0.053672245	0.116297518	0.196156247	0.147026933	2.032662135	0.1327834	0.103902354	0.119027939	0.059547582	7.543721354
c__Bathyarchaeia	8_1_Jan_SF_Bin50	0.149294027	0.074874735	0.127190565	0.088273663	4.476233592	0.056488357	0.099870346	0.125447404	0.135470059	0.587855977	0.056221791	0.136511932	0.2309844	0.145186528	1.028136253	0.136192272	0.11551118	0.138512137	0.070590965	8.725849995
c__Bathyarchaeia	8_1_Jan_SF_Bin52	0.141380586	0.078712576	0.127180352	0.096258069	4.719219227	0.061926764	0.103636531	0.11331012	0.157223974	1.751215462	0.068458445	0.126766512	0.349225034	0.110950814	1.661558828	0.140632499	0.131397989	0.181575164	0.067458843	7.696579896
c__Bathyarchaeia	8_1_Jan_SF_Bin55	0.274747518	0.077661451	0.160313884	0.2424967	18.8710005	0.106232118	0.130655729	0.121267277	0.894029967	5.680335626	0.124428357	0.140237118	0.719396493	0.335898731	3.708747431	0.230209486	0.258344973	0.213998201	0.110793764	20.23211822
c__Bathyarchaeia	8_1_Jan_SF_Bin71	0.249563948	0.035918801	0.061966436	0.485490767	28.99578351	0.06015407	0.046002744	0.053501238	1.954813606	7.62463037	0.050577503	0.057047908	0.170162675	0.834441948	5.43065468	0.137721771	0.07273085	0.067682332	0.177722604	33.62393182
c__Bathyarchaeia	8_1_Jan_SF_Bin74	0.147284287	0.061917263	0.101061357	0.096541044	16.40262173	0.062269367	0.078975081	0.08659209	0.281436696	5.406709019	0.061720824	0.094693206	0.225162039	0.121751145	3.998609813	0.190706649	0.094993771	0.140373402	0.068358077	22.78807705
c__Bathyarchaeia	8_1_Jan_SF_Bin81	0.102172623	0.06658126	0.085715307	0.076674339	4.394279521	0.05394491	0.071739671	0.079037003	0.148571263	1.903448264	0.051441149	0.091416932	0.138503086	0.088881107	1.009285399	0.093904132	0.077053959	0.092153551	0.060003435	4.593225197
c__Bathyarchaeia	8_1_Jan_SF_Bin96	0.126186469	0.067206779	0.108382562	0.083155763	5.564662853	0.045723905	0.084574731	0.102848153	0.139261497	1.419597581	0.048353368	0.112388078	0.174870496	0.135245244	0.721919598	0.153992082	0.089198681	0.112832531	0.06316553	3.214604618
c__Bathyarchaeia	8_1_July_SF_Bin33	0.120288527	0.050279907	0.082288361	0.08957259	12.31992744	0.049150601	0.063615787	0.068856791	0.242578025	4.628681317	0.053580995	0.077157249	0.179734168	0.116369442	3.113492832	0.116717807	0.073050043	0.11972767	0.059182233	17.9305892
c__Bathyarchaeia	8_1_July_SF_Bin42	0.123171496	0.059184955	0.098306889	0.070988526	4.66658561	0.052513561	0.079855269	0.096600501	0.102462799	3.869550699	0.057847326	0.106507271	0.1717051	0.110067061	2.532275609	0.138540648	0.086446748	0.108785594	0.052511776	6.957111189
c__Bathyarchaeia	8_1_July_SF_Bin73	0.246649097	0.037955025	0.067756623	0.497575839	29.14322331	0.06510675	0.053843578	0.0578901	1.997108829	8.145515138	0.057722579	0.064852287	0.192118297	0.853703677	5.553866281	0.145788246	0.079541709	0.077614661	0.17592298	34.02530353
c__Bathyarchaeia	8_1_May_SF_Bin8	0.266621745	0.044369282	0.077153438	0.522801358	31.546345	0.066923364	0.063130151	0.065391621	2.083925	8.361632705	0.05564081	0.072163419	0.202869589	0.903434237	6.527002141	0.156986989	0.089129605	0.081502929	0.183144662	37.20584582
c__Bathyarchaeia	8_1_Oct_SF_Bin100	0.375083571	0.119280664	0.160474193	0.471373623	3.786862927	0.093850547	0.130442991	0.147912002	1.545511084	0.789452083	0.093207828	0.169151779	0.244705687	1.07061892	0.861852153	0.204246226	0.136782502	0.170302221	0.134930931	4.945120537
c__Bathyarchaeia	8_1_Oct_SF_Bin103	0.158347102	0.070498221	0.122355751	0.107260829	8.479255973	0.059514981	0.09365497	0.112101693	0.237289342	3.040210818	0.065179457	0.113950251	0.269143854	0.143320292	2.262414773	0.140825835	0.131485714	0.138457858	0.071680209	14.3236301
c__Bathyarchaeia	8_1_Oct_SF_Bin29	0.131058858	0.067731479	0.112159159	0.084632945	4.55601253	0.053487621	0.089468992	0.105594073	0.13659578	1.821200436	0.056532396	0.118367979	0.20651631	0.121644181	1.866515777	0.126958257	0.108866335	0.120948006	0.062053536	7.932660771
c__Bathyarchaeia	8_1_Oct_SF_Bin35	0.13456936	0.058220577	0.097553842	0.090641768	14.96934205	0.05797279	0.072832878	0.082052315	0.230861679	5.194850311	0.060614127	0.089205746	0.212175992	0.104030719	3.822330013	0.139383535	0.093069946	0.132594491	0.063612072	22.25810303
c__Bathyarchaeia	8_1_Oct_SF_Bin36	0.113168018	0.074717426	0.097486373	0.085370539	4.638718012	0.062285663	0.081921559	0.086819501	0.160206338	2.184401511	0.059526155	0.104238361	0.159276041	0.103795367	1.170958372	0.105281395	0.086640046	0.103657451	0.065997852	5.729694416
c__Bathyarchaeia	8_1_Oct_SF_Bin41	0.547220555	0.112453472	0.226268874	0.210991882	4.84322288	0.096207312	0.196257185	0.190704091	0.595643591	1.494370068	0.108928049	0.211307375	0.745612195	0.257087758	1.498617266	0.314565075	0.29831204	0.245220681	0.105973395	6.476750016
c__Bathyarchaeia	8_1_Oct_SF_Bin52	0.248694303	0.036577672	0.066555209	0.491825587	28.7497128	0.055164283	0.054620416	0.053483217	1.9748379	7.589355852	0.053074908	0.060444635	0.184803728	0.821492567	5.512419207	0.14861827	0.081948434	0.06982011	0.173508408	34.28261763
c__Bathyarchaeia	8_1_Oct_SF_Bin53	0.270386565	0.076162968	0.159736461	0.248875245	18.44350361	0.097861285	0.129676515	0.12445839	0.891126438	5.83695041	0.126039613	0.14044448	0.707742138	0.327978398	3.772442049	0.231814123	0.253766518	0.208101863	0.109068946	20.63974647
c__Bathyarchaeia	8_1_Oct_SF_Bin62	0.135615831	0.06178082	0.102328025	0.081933857	12.88439098	0.06354263	0.084948295	0.096213325	0.12107176	4.958021749	0.062218672	0.105935581	0.177020265	0.115772883	3.171853657	0.140676072	0.101719309	0.116826569	0.059852678	19.67293414
c__Bathyarchaeia	8_1_Oct_SF_Bin71	0.161146294	0.086782378	0.140323109	0.100106054	3.259249098	0.056831944	0.114495988	0.140288386	0.1441871	0.49752898	0.059511489	0.152955017	0.235358198	0.170567825	0.987429793	0.145400381	0.12733943	0.150211149	0.07529266	12.75798651
c__Bathyarchaeia	8_1_Oct_SF_Bin80	0.219185813	0.109554031	0.170465049	0.13069423	4.302564446	0.085176896	0.142385093	0.170162805	0.241516038	0.980615666	0.082870675	0.178056289	0.328853568	0.204020961	0.904685627	0.185350444	0.160350813	0.18686321	0.10370562	6.272905816
c__Bathyarchaeia	8_1_Oct_SF_Bin81	0.132314028	0.076502436	0.124414582	0.090270672	3.879392579	0.059922132	0.100574034	0.112163775	0.144110975	1.579878009	0.066460498	0.121534401	0.306905397	0.111273502	1.564883067	0.133768961	0.123248304	0.173397732	0.064331935	7.454026697
c__Bathyarchaeia	8_1_Oct_SF_Bin84	0.383368523	0.173158974	0.174635702	0.716767201	9.864274064	0.169025572	0.151220094	0.138834731	4.062761754	3.131170563	0.156719551	0.183064214	0.245698245	0.947613204	2.092021227	0.264469008	0.176621152	0.168768235	0.279110071	11.69359957
c__Bathyarchaeia	8_1_Oct_SF_Bin85	0.393401173	0.106315219	0.182515923	0.273120696	23.53855355	0.081422676	0.144558485	0.174939404	0.363848002	4.193663908	0.084267343	0.185279208	0.323821127	0.493464741	3.193488891	0.21317721	0.162765234	0.20075073	0.351286877	28.02815563
c__Bathyarchaeia	8_1_Oct_SF_Bin87	0.178063773	0.123300914	0.154980539	0.15948905	3.967806006	0.09730178	0.12555342	0.133587636	0.314916667	0.909201462	0.100011665	0.159763015	0.221739442	0.189036092	0.843670192	0.161074075	0.133440736	0.159960987	0.110792841	5.141590722
c__Bathyarchaeia	8_1_Oct_SF_Bin93	0.222813066	0.115586174	0.211724596	0.12898586	2.373247963	0.126165329	0.171904357	0.183128526	0.187379674	1.10905094	0.153717346	0.203357635	0.81869668	0.186836667	1.921179875	0.240493896	0.293096986	0.288859603	0.092903808	8.045280079
c__Bathyarchaeia	8_1_Oct_SF_Bin96	0.116119701	0.0630652	0.097248241	0.076091941	4.843766576	0.043063809	0.078036598	0.095285651	0.12430545	1.230940566	0.044141077	0.102098425	0.161382023	0.123039844	0.649730189	0.139664542	0.081533495	0.102471092	0.057133018	3.046858182
c__Gammaproteobacteria	13_July_SF_Bin19	0.969972249	0.248854798	0.194761305	0.310797033	0.18267542	5.283169544	0.181619631	0.161585938	0.217892176	0.540329536	5.148165219	0.216445019	0.2286914	0.233084635	0.088742402	1.167788947	0.18310019	0.191403191	0.323337637	0.149831015
c__Gammaproteobacteria	13_July_SF_Bin36	1.694218218	0.231528228	0.203855697	0.415977735	1.707083033	11.00905291	0.175172165	0.172415485	0.343901474	2.925922547	5.026916029	0.219403836	0.237018381	0.345838003	0.284041612	1.701898923	0.174993044	0.201296444	0.374218143	1.434871516
c__Gammaproteobacteria	13_May_SF_Bin38	1.497968564	0.204739793	0.175673489	0.294604521	1.465405472	9.162117649	0.157797548	0.1492675	0.195950514	2.495261786	4.995318225	0.192632744	0.210684481	0.222112788	0.238966471	1.489494196	0.155705639	0.174830994	0.258173843	1.235427515
c__Gammaproteobacteria	13_May_SF_Bin60	1.01680242	0.250124227	0.200267047	0.31733482	0.189086623	5.356940119	0.180633825	0.160327223	0.224918593	0.55949179	5.519441739	0.219477409	0.231393648	0.239144017	0.089712978	1.221665667	0.185964197	0.193666296	0.334407112	0.15702823
c__Gammaproteobacteria	13_May_SF_Bin7	1.720301231	0.597990081	0.449054556	1.015300768	0.842096867	4.655752375	0.392450798	0.348513702	0.635663949	4.69398805	6.763905234	0.476298221	0.493228297	0.830276619	0.208383819	1.813031453	0.40200637	0.435206509	1.10588621	0.54577971
c__Gammaproteobacteria	4_1_Jan_SF_Bin28	0.555405748	0.50102751	0.41139146	5.410956017	0.514525029	0.574275814	0.353438349	0.319032646	1.077771735	1.545766267	0.488553618	0.421112326	0.450413101	2.289468017	0.188600577	0.522366314	0.358710351	0.395864289	4.588575954	0.516622606
c__Gammaproteobacteria	4_1_Jan_SF_Bin33	0.280386536	0.283763332	0.214277776	3.063454845	0.19293131	0.298783174	0.18815905	0.164097799	1.268927949	0.662087123	0.267484615	0.230658798	0.240109037	2.351898423	0.199648902	0.263682957	0.192072777	0.209469198	3.390300967	0.190592109
c__Gammaproteobacteria	4_1_Jan_SF_Bin40	0.365413703	0.302412679	0.22584375	3.414638847	0.247940584	0.349489603	0.193074063	0.169227811	0.800062918	0.613272277	0.311531742	0.23514446	0.24287328	2.727618992	0.09251916	0.343830062	0.197363845	0.21229255	4.473587448	0.243229464
c__Gammaproteobacteria	4_1_Jan_SF_Bin54	0.382587683	0.302245631	0.226131584	4.907044995	0.516591021	0.837155279	0.19539163	0.170601343	1.552894159	3.209486233	0.730859657	0.238908453	0.244443316	4.89839235	0.124137767	0.425863466	0.199569732	0.217147046	3.521594029	0.34023319
c__Gammaproteobacteria	4_1_Jan_SF_Bin56	0.252259547	0.198579783	0.204448221	5.783577385	0.856365814	0.422198842	0.163620199	0.160643433	0.393456348	1.755675372	0.202862632	0.19065931	0.21384369	2.062697172	0.43674468	0.278564402	0.154511205	0.180478921	3.713886661	0.974885727
c__Gammaproteobacteria	4_1_Jan_SF_Bin64	0.815663854	0.384582908	0.317430768	3.962074809	0.530165962	0.577365296	0.264280095	0.234854007	1.122276582	1.316418941	0.376589572	0.315588743	0.3269162	2.172915654	0.198922142	0.474706707	0.26559809	0.288127595	6.561629261	0.712461397
c__Gammaproteobacteria	4_1_Jan_SF_Bin8	0.614215912	0.500309115	0.365884293	3.39894412	0.40292808	0.597893119	0.306751151	0.270576354	1.189600876	1.106461161	0.484436767	0.374551569	0.377752793	2.253004519	0.186469627	0.470924082	0.313498439	0.342178674	7.394909018	0.486183972
c__Gammaproteobacteria	4_1_July_SF_Bin28	0.45220084	0.513990269	0.397680031	1.221127823	0.285943376	0.468279318	0.343329687	0.304949802	26.34094645	0.759161603	0.470873861	0.421846337	0.439142523	0.786013027	0.191064556	0.455367099	0.348383736	0.380662116	0.842954146	0.313183543
c__Gammaproteobacteria	4_1_July_SF_Bin49	0.303628643	0.268017841	0.2711246	1.452721571	0.215458305	0.222234735	0.240901641	0.244856741	7.358016314	0.348710002	0.223896381	0.293662603	0.349939568	0.438471532	0.198791186	0.294891824	0.239663315	0.289603127	0.358053214	0.211707658
c__Gammaproteobacteria	4_1_July_SF_Bin6	0.349772387	0.299529064	0.288520064	0.755530598	0.234165425	0.258711717	0.258496174	0.251603992	9.276856352	0.431554283	0.262558819	0.301069046	0.356534092	3.080929852	0.185599259	0.319214736	0.259664606	0.294059906	0.511169063	0.247796877
c__Gammaproteobacteria	4_1_May_SF_Bin11	0.214689751	0.166178952	0.167047599	4.3418109	0.694186095	0.345691007	0.133781564	0.133077082	0.3045473	1.408576355	0.170636768	0.157524056	0.175020622	1.947717559	0.353659362	0.230777265	0.127036337	0.14878968	2.975924618	0.772531047
c__Gammaproteobacteria	4_1_May_SF_Bin13	0.322349371	0.288330131	0.266817474	0.688741791	0.235240701	0.249247561	0.246272189	0.234044719	5.50400743	0.399271779	0.25664943	0.291004777	0.334036668	4.245407706	0.162546994	0.295953523	0.245756661	0.27606638	0.477252442	0.22958302
c__Gammaproteobacteria	4_1_May_SF_Bin26	0.290105683	0.247341273	0.272873973	0.574424422	0.205477483	0.201738447	0.238877655	0.241619198	0.546768796	0.298971035	0.207040158	0.288029089	0.360181904	9.97719912	0.202529541	0.289491437	0.234570866	0.285907866	0.513463581	0.208433037
c__Gammaproteobacteria	4_1_May_SF_Bin30	0.29172986	0.291945678	0.220462976	2.855787988	0.197903354	0.30586276	0.193562162	0.172867972	1.352223862	0.700767256	0.272699391	0.23711704	0.245933902	2.7416007	0.188141029	0.272004775	0.194606254	0.218331058	3.539992523	0.198077222
c__Gammaproteobacteria	4_1_May_SF_Bin49	0.413679838	0.315815631	0.237729334	4.650112606	0.566654204	0.937400644	0.206168863	0.179756847	1.656988445	3.588816942	0.833844259	0.251678045	0.260353531	5.583509039	0.132781639	0.457380239	0.212386146	0.22747367	3.716687319	0.36876112
c__Gammaproteobacteria	4_1_May_SF_Bin65	0.374139448	0.305546758	0.230616396	3.347507199	0.254542039	0.351486974	0.197143683	0.173665672	0.813281693	0.628310818	0.310967925	0.236507312	0.245217543	2.891278575	0.097069915	0.344042867	0.199756513	0.215631275	4.554395179	0.252493574
c__Gammaproteobacteria	4_1_Oct_SF_Bin16	0.791098833	0.69422965	0.500663954	4.297346626	0.545402352	0.837032727	0.427772132	0.371585725	1.762642071	1.562896586	0.672033653	0.521960833	0.522809319	3.430886699	0.239846146	0.642043406	0.435064117	0.470241653	11.87075678	0.654978646
c__Gammaproteobacteria	4_1_Oct_SF_Bin27	0.374552141	0.306503882	0.229448117	3.292285361	0.254345236	0.360918551	0.196667815	0.174191385	0.817964894	0.62309459	0.315320603	0.238727452	0.246541241	2.766082777	0.092173557	0.349546431	0.199050282	0.215754972	4.653110049	0.249242888
c__Gammaproteobacteria	4_1_Oct_SF_Bin28	0.289521556	0.300244479	0.227131401	2.877087042	0.199534156	0.304827884	0.197451224	0.175688221	1.354845516	0.692698851	0.280626076	0.242331746	0.250135277	2.505312078	0.181953057	0.278437288	0.203483624	0.221141214	3.840790474	0.194537847
c__Gammaproteobacteria	4_1_Oct_SF_Bin29	0.239530449	0.187222126	0.189482282	4.941888965	0.791785801	0.385224169	0.151043522	0.151968195	0.389496155	1.624011485	0.194591934	0.178451773	0.199451762	1.880370524	0.401256386	0.262251916	0.145412252	0.16973601	3.706071734	0.888382888
c__Gammaproteobacteria	4_1_Oct_SF_Bin31	0.520517447	0.476013764	0.38099062	4.369978032	0.447582948	0.51970497	0.32653644	0.294963958	0.973110614	1.370739836	0.454729645	0.395964396	0.419694724	2.08649099	0.168368475	0.487008414	0.335882746	0.372461663	4.639581972	0.43714222
c__Gammaproteobacteria	4_1_Oct_SF_Bin40	0.79203127	0.72230153	0.549630639	4.217468794	0.48240745	0.809700806	0.480053805	0.426925919	1.669626394	1.525766392	0.698004215	0.575272622	0.605334141	3.149665691	0.22183041	0.67597615	0.494023506	0.529500905	7.155972946	0.528022906
c__Gammaproteobacteria	4_1_Oct_SF_Bin49	0.874939369	0.611597917	0.499603671	3.746552312	0.78351245	0.81756258	0.411787431	0.378752332	1.110564264	1.509536039	0.579270969	0.493680689	0.509508586	2.478575584	0.367275955	0.671581538	0.415635854	0.447766089	8.186716347	0.871391583
c__Gammaproteobacteria	4_1_Oct_SF_Bin51	0.971676032	0.478952423	0.382336822	4.426378126	0.603245525	0.723117166	0.321354484	0.290630978	1.495802238	1.625369653	0.461330963	0.387987047	0.39868365	2.82334338	0.254503734	0.537167207	0.326163991	0.356014927	9.152904317	0.8005069
