site	genome	sulfur	carbon	oxygen	iron	nitrogen
13_Jan	13_Jan_SF_Bin8	10.681	12.913	2.112	6.584	11.356
13_May	13_May_SF_Bin101	2.924	3.857	3.684	7.145	11.496
13_May	13_May_SF_Bin102	3.86	7.048	4.125	9.124	13.69
13_May	13_May_SF_Bin12	6.52	2.771	2.314	4.317	11.048
13_May	13_May_SF_Bin13	7.987	5.004	4.464	7.471	15.328
13_May	13_May_SF_Bin18	6.903	6.179	1.891	7.119	12.046
13_May	13_May_SF_Bin19	5.518	2.201	1.954	5.493	10.431
13_May	13_May_SF_Bin21	1.837	2.587	0.75	5.841	8.156
13_May	13_May_SF_Bin22	8.853	5.114	4.993	9.126	14.803
13_May	13_May_SF_Bin23	3.518	1.976	1.532	7.234	8.207
13_May	13_May_SF_Bin24	1.876	2.091	1.607	3.344	10.77
13_May	13_May_SF_Bin26	1.964	5.79	3.362	3.698	7.684
13_May	13_May_SF_Bin27	3.36	2.418	3.605	7.846	13.347
13_May	13_May_SF_Bin3	5.895	1.406	2.441	5.453	11.927
13_May	13_May_SF_Bin31	5.88	3.631	4.588	5.369	14.687
13_May	13_May_SF_Bin32	1.037	5.559	4.632	7.594	16.069
13_May	13_May_SF_Bin34	1.365	2.951	5.807	9.239	15.636
13_May	13_May_SF_Bin35	0.338	3.879	4.283	5.578	13.198
13_May	13_May_SF_Bin37	1.442	1.792	3.295	6.906	11.16
13_May	13_May_SF_Bin38	-0.34	2.919	2.373	7.203	11.043
13_May	13_May_SF_Bin4	0.671	3.627	5.026	6.229	11.718
13_May	13_May_SF_Bin40	5.013	3.498	3.631	7.951	15.655
13_May	13_May_SF_Bin41	6.83	7.852	4.054	8.99	14.881
13_May	13_May_SF_Bin42	1.354	3.019	2.248	4.927	9.18
13_May	13_May_SF_Bin44	1.344	0.968	3.699	5.756	12.212
13_May	13_May_SF_Bin45	3.149	3.064	1.434	6.826	11.009
13_May	13_May_SF_Bin46	4.835	4.083	3.594	6.644	14.648
13_May	13_May_SF_Bin47	2.91	5.19	3.135	1.467	8.732
13_May	13_May_SF_Bin48	1.872	3.44	2.917	7.47	10.926
13_May	13_May_SF_Bin5	1.753	3.753	4.002	6.272	11.659
13_May	13_May_SF_Bin52	4.621	3.761	4.635	9.196	13.648
13_May	13_May_SF_Bin53	9.96	9.83	4.216	9.297	16.032
13_May	13_May_SF_Bin54	2.394	5.545	3.217	2.742	9.354
13_May	13_May_SF_Bin55	0.875	0.644	3.043	1.174	5.426
13_May	13_May_SF_Bin57	3.262	10.55	2.734	2.58	12.624
13_May	13_May_SF_Bin58	5.141	3.326	2.947	7.539	13.903
13_May	13_May_SF_Bin59	4.912	5.12	2.993	5.594	12.58
13_May	13_May_SF_Bin60	3.647	4.688	4.772	9.473	15.466
13_May	13_May_SF_Bin61	7.799	4.892	2.548	7.532	12.06
13_May	13_May_SF_Bin62	4.283	7.958	3.46	3.082	12.981
13_May	13_May_SF_Bin64	6.812	16.19	3.965	7.025	14.493
13_May	13_May_SF_Bin65	6.847	2.082	3.523	9.255	12.436
13_May	13_May_SF_Bin66	5.405	1.878	1.73	6.784	11.171
13_May	13_May_SF_Bin67	3.005	7.138	3.473	2.624	8.292
13_May	13_May_SF_Bin7	7.98	4.839	5.252	7.984	15.311
13_May	13_May_SF_Bin71	8.741	4.047	4.467	8.567	14.577
13_May	13_May_SF_Bin72	5.019	4.373	4.317	6.909	14.638
13_May	13_May_SF_Bin73	4.807	2.242	2.319	6.749	12.327
13_May	13_May_SF_Bin75	2.583	1.812	1.457	7.815	12.545
13_May	13_May_SF_Bin78	2.579	2.209	3.901	7.368	11.929
13_May	13_May_SF_Bin79	4.691	3.929	2.788	8.608	13.302
13_May	13_May_SF_Bin8	3.301	6.972	3.521	6.747	13.269
13_May	13_May_SF_Bin80	6.881	11.617	5.077	9.482	15.88
13_May	13_May_SF_Bin81	5.41	18.544	4.189	7.432	16.567
13_May	13_May_SF_Bin84	5.118	6.703	4.449	6.729	14.692
13_May	13_May_SF_Bin86	4.195	2.596	2.059	6.899	11.986
13_May	13_May_SF_Bin87	2.055	2.324	0.836	7.124	8.519
13_May	13_May_SF_Bin88	10.971	7.502	5.352	6.173	13.788
13_May	13_May_SF_Bin89	2.944	6.007	3.473	2.624	9.397
13_May	13_May_SF_Bin9	4.657	3.044	1.206	6.185	11.077
13_May	13_May_SF_Bin90	4.985	10.005	2.827	7.737	12.926
13_May	13_May_SF_Bin91	6.424	7.984	4.246	9.126	15.055
13_May	13_May_SF_Bin92	6.486	7.705	4.135	8.612	14.656
13_May	13_May_SF_Bin93	1.765	6.974	3.989	7.961	12.714
13_May	13_May_SF_Bin97	5.745	2.184	2.845	7.359	12.136
13_May	13_May_SF_Bin98	6.342	6.82	3.882	9.048	13.993
13_July	13_July_SF_Bin1	7.595	11.451	5.236	9.734	15.451
13_July	13_July_SF_Bin10	2.844	4.295	1.985	3.862	9.414
13_July	13_July_SF_Bin11	5.047	6.036	4.449	6.729	14.338
13_July	13_July_SF_Bin18	9.115	4.747	3.998	7.531	13.229
13_July	13_July_SF_Bin19	3.875	5.054	4.661	7.994	15.085
13_July	13_July_SF_Bin2	4.123	5.206	2.935	6.453	12.116
13_July	13_July_SF_Bin23_1	6.401	3.513	5.125	9.255	12.932
13_July	13_July_SF_Bin23_2	5.148	5.318	4.093	7.38	10.451
13_July	13_July_SF_Bin24	4.897	6.188	3.822	4.888	12.629
13_July	13_July_SF_Bin26	4.248	2.127	2.182	7.2	12.04
13_July	13_July_SF_Bin27	0.674	5.892	4.366	7.039	15.115
13_July	13_July_SF_Bin28	3.005	6.675	3.473	2.624	8.478
13_July	13_July_SF_Bin30	0.824	3.883	3.601	2.253	7.876
13_July	13_July_SF_Bin31	11.995	14.667	3.169	7.453	11.621
13_July	13_July_SF_Bin32	7.248	3.326	2.947	7.539	13.903
13_July	13_July_SF_Bin33	3.116	6.476	3.996	2.624	9.716
13_July	13_July_SF_Bin34	1.478	1.29	2.903	3.473	11.03
13_July	13_July_SF_Bin35	6.86	7.546	3.92	8.99	15.124
13_July	13_July_SF_Bin36	0.991	3.269	3.864	9.266	12.612
13_July	13_July_SF_Bin37	6.331	2.289	1.938	6.899	11.01
13_July	13_July_SF_Bin38	5.405	3.749	4.643	9.067	14.299
13_July	13_July_SF_Bin39	2.68	4.894	2.145	2.742	8.399
13_July	13_July_SF_Bin40	6.347	7.735	4.054	8.402	15.175
13_July	13_July_SF_Bin43	3.624	2.875	3.562	7.846	13.426
13_July	13_July_SF_Bin48	2.629	3.469	1.555	5.171	9.46
13_July	13_July_SF_Bin49	9.953	5.38	4.391	9.255	13.749
13_July	13_July_SF_Bin5	3.541	2.035	3.859	5.173	12.867
13_July	13_July_SF_Bin51	4.541	2.794	3.866	8.042	11.397
13_July	13_July_SF_Bin52	8.396	3.395	4.69	8.567	14.175
13_July	13_July_SF_Bin55	4.404	3.858	4.255	7.093	12.861
13_July	13_July_SF_Bin57	2.058	5.452	2.027	6.339	8.284
13_July	13_July_SF_Bin6	1.184	0.741	3.36	5.038	11.236
13_Oct	13_Oct_SF_Bin15	9.728	13.176	2.519	7.787	13.433
13_Oct	13_Oct_SF_Bin17	6.57	6.024	4.127	9.415	13.679
13_Oct	13_Oct_SF_Bin18	3.664	2.188	3.466	6.173	11.386
13_Oct	13_Oct_SF_Bin20	5.909	10.746	4.223	7.641	13.121
13_Oct	13_Oct_SF_Bin22	5.371	3.541	3.614	9.067	12.463
13_Oct	13_Oct_SF_Bin27	0.824	4.094	3.601	2.253	9.421
13_Oct	13_Oct_SF_Bin29	9.213	12.841	1.877	5.986	11.84
13_Oct	13_Oct_SF_Bin3	7.243	3.326	2.947	7.539	13.903
13_Oct	13_Oct_SF_Bin32	10.124	12.498	3.548	8.854	14.166
13_Oct	13_Oct_SF_Bin33	9.587	13.406	2.687	7.109	11.347
13_Oct	13_Oct_SF_Bin5	4.581	9.767	5.059	8.183	13.372
13_Oct	13_Oct_SF_Bin7	9.252	3.871	4.031	8.032	12.927
21_Jan	21_Jan_SF_Bin1	4.995	9.666	4.803	8.164	16.62
21_Jan	21_Jan_SF_Bin10	3.783	7.779	4.031	7.245	16.122
21_Jan	21_Jan_SF_Bin11	1.535	3.548	4.175	4.974	12.147
21_Jan	21_Jan_SF_Bin12	6.069	4.116	4.479	4.777	15.836
21_Jan	21_Jan_SF_Bin14	6.692	3.232	2.519	7.359	10.944
21_Jan	21_Jan_SF_Bin15	4.646	3.393	3.366	7.147	12.173
21_Jan	21_Jan_SF_Bin2	1.409	1.797	0.593	6.213	10.16
21_Jan	21_Jan_SF_Bin22	4.004	8.233	4.878	6.305	15.962
21_Jan	21_Jan_SF_Bin23	4.425	3.464	3.515	5.797	13.342
21_Jan	21_Jan_SF_Bin24	5.741	5.696	4.86	6.837	16.793
21_Jan	21_Jan_SF_Bin27	0.117	2.257	3.276	2.671	9.937
21_Jan	21_Jan_SF_Bin28	1.616	6.255	4.621	4.694	14.655
21_Jan	21_Jan_SF_Bin30	7.049	7.735	4.054	7.291	15.553
21_Jan	21_Jan_SF_Bin31	2.439	4.228	0.739	2.018	3.24
21_Jan	21_Jan_SF_Bin34	6.326	13.212	6.001	4.495	14.564
21_Jan	21_Jan_SF_Bin35	4.206	2.62	1.903	5.278	10.748
21_Jan	21_Jan_SF_Bin36	2.586	6.297	3.304	2.891	9.356
21_Jan	21_Jan_SF_Bin37	6.519	7.735	4.054	6.125	15.376
21_Jan	21_Jan_SF_Bin38	8.557	5.725	4.543	9.297	15.525
21_Jan	21_Jan_SF_Bin39	6.536	13.745	3.537	6.948	14.604
21_Jan	21_Jan_SF_Bin4	3.627	3.027	5.055	6.141	11.77
21_Jan	21_Jan_SF_Bin40	6.179	8.571	4.219	7.869	15.333
21_Jan	21_Jan_SF_Bin41	2.69	5.356	4.457	9.255	13.029
21_Jan	21_Jan_SF_Bin42	7.249	2.792	3.42	8.741	10.67
21_Jan	21_Jan_SF_Bin44	4.336	2.339	1.857	7.686	11.431
21_Jan	21_Jan_SF_Bin46	1.543	5.44	4.944	6.089	15.158
21_Jan	21_Jan_SF_Bin47	8.917	8.739	4.363	8.651	15.962
21_Jan	21_Jan_SF_Bin48	6.227	5.664	5.027	4.46	13.309
21_Jan	21_Jan_SF_Bin49	1.81	2.59	4.347	5.851	11.722
21_Jan	21_Jan_SF_Bin5	3.994	5.335	2.479	5.078	13.419
21_Jan	21_Jan_SF_Bin50	3.19	8.154	4.776	2.386	14.755
21_Jan	21_Jan_SF_Bin51	0.45	5.661	3.506	2.625	8.518
21_Jan	21_Jan_SF_Bin52	3.873	11.019	5.126	7.552	15.417
21_Jan	21_Jan_SF_Bin53	4.43	4.417	4.349	3.302	13.683
21_Jan	21_Jan_SF_Bin54	7.076	17.502	4.099	5.683	14.68
21_Jan	21_Jan_SF_Bin55	3.219	2.877	5.089	4.886	15.91
21_Jan	21_Jan_SF_Bin56	0.395	1.222	2.646	6.023	10.563
21_Jan	21_Jan_SF_Bin57	1.844	5.006	2.686	2.135	5.633
21_Jan	21_Jan_SF_Bin59	5.458	4.312	3.507	8.522	14.95
21_Jan	21_Jan_SF_Bin60	-0.058	1.874	3.693	4.134	13.052
21_Jan	21_Jan_SF_Bin62	7.103	2.123	1.701	5.516	12.122
21_Jan	21_Jan_SF_Bin67	4.379	10.34	3.835	2.393	13.48
21_Jan	21_Jan_SF_Bin68	5.152	5.349	3.28	6.849	13.014
21_Jan	21_Jan_SF_Bin69	7.135	8.962	0.611	8.122	3.408
21_Jan	21_Jan_SF_Bin71	4.435	13.68	3.498	6.636	13.628
21_Jan	21_Jan_SF_Bin72	0.441	3.585	4.192	4.672	10.575
21_Jan	21_Jan_SF_Bin73	0.617	2.536	3.62	4.19	13.471
21_Jan	21_Jan_SF_Bin74	2.592	1.596	2.586	5.521	11.781
21_Jan	21_Jan_SF_Bin8	7.039	2.254	1.169	3.475	10.669
21_Jan	21_Jan_SF_Bin9	4.501	2.368	3.642	5.859	15.931
21_July	21_July_SF_Bin1	10.473	12.733	3.639	8.854	14.198
21_July	21_July_SF_Bin10	6.105	4.455	3.788	8.805	13.169
21_July	21_July_SF_Bin12	2.009	5.857	2.128	2.135	9.239
21_July	21_July_SF_Bin13	8.271	5.253	4.384	9.297	14.668
21_July	21_July_SF_Bin14	2.587	4.446	2.985	6.153	10.733
21_July	21_July_SF_Bin16	8.102	12.462	0.886	5.491	9.984
21_July	21_July_SF_Bin19	4.255	2.617	3.126	5.691	11.113
21_July	21_July_SF_Bin2	10.168	11.616	2.186	5.517	10.279
21_July	21_July_SF_Bin22	3.418	3.105	2.883	9.186	10.746
21_July	21_July_SF_Bin24	2.912	6.689	2.48	2.135	8.057
21_July	21_July_SF_Bin26	2.902	6.323	3.272	2.506	8.328
21_May	21_May_SF_Bin10	0.638	3.417	2.151	4.383	9.221
21_May	21_May_SF_Bin2	3.584	1.331	1.567	6.041	10.545
21_May	21_May_SF_Bin20	8.556	10.993	2.011	6.326	12.093
21_May	21_May_SF_Bin21	6.093	6.025	4.543	9.196	14.588
21_May	21_May_SF_Bin22	4.843	8.701	4.912	8.249	14.682
21_May	21_May_SF_Bin23	2.035	6.591	3.437	5.901	12.337
21_May	21_May_SF_Bin25	8.913	3.173	1.896	7.255	12.026
21_May	21_May_SF_Bin26	5.698	4.471	3.948	8.805	13.704
21_May	21_May_SF_Bin27	10.136	14.662	4.492	6.854	12.991
21_May	21_May_SF_Bin28	2.239	4.56	3.349	1.697	8.858
21_May	21_May_SF_Bin30	9.238	13.484	1.985	6.873	11.477
21_May	21_May_SF_Bin32	10.069	15.997	3.083	6.86	12.763
21_May	21_May_SF_Bin33	7.399	7.978	4.003	8.082	14.433
21_May	21_May_SF_Bin35	4.991	4.161	2.222	6.549	13.561
21_May	21_May_SF_Bin39	7.011	5.275	4.081	9.297	13.813
21_May	21_May_SF_Bin40	2.336	4.747	3.902	2.891	8.227
21_May	21_May_SF_Bin41	2.222	5.857	2.128	0.31	8.518
21_May	21_May_SF_Bin5	4.51	5.583	3.114	8.32	12.96
21_May	21_May_SF_Bin9	10.124	12.75	3.591	8.854	13.754
21_Oct	21_Oct_SF_Bin11	1.445	5.71	4.944	7.527	15.158
21_Oct	21_Oct_SF_Bin13	1.764	3.973	3.154	8.923	13.361
21_Oct	21_Oct_SF_Bin14	7.954	15.983	2.875	9.222	14.008
21_Oct	21_Oct_SF_Bin16	2.058	4.86	3.899	3.191	10.709
21_Oct	21_Oct_SF_Bin17	9.963	11.227	3.639	8.854	13.347
21_Oct	21_Oct_SF_Bin18	9.463	10.297	1.985	7.093	11.299
21_Oct	21_Oct_SF_Bin2	7.053	5.474	4.731	7.74	11.797
21_Oct	21_Oct_SF_Bin23	6.474	6.936	3.334	5.784	14.536
21_Oct	21_Oct_SF_Bin24	9.62	11.337	3.036	6.05	13.187
21_Oct	21_Oct_SF_Bin25	-0.54	2.427	3.74	2.304	6.267
21_Oct	21_Oct_SF_Bin27	2.965	6.152	4.09	2.742	9.209
21_Oct	21_Oct_SF_Bin28	7.46	3.503	3.967	7.286	11.709
21_Oct	21_Oct_SF_Bin29	7.011	5.313	3.941	9.297	12.737
24_Jan	24_Jan_SF_Bin10	8.716	13.255	3.551	8.056	13.476
24_Jan	24_Jan_SF_Bin12	8.231	14.101	1.92	8.16	12.819
24_Jan	24_Jan_SF_Bin13	10.04	15.226	3.065	6.993	11.389
24_Jan	24_Jan_SF_Bin14	8.976	4.342	3.186	9.342	11.638
24_Jan	24_Jan_SF_Bin17	9.996	15.344	2.519	6.27	13.433
24_Jan	24_Jan_SF_Bin20	6.838	9.605	1.622	5.024	7.481
24_Jan	24_Jan_SF_Bin23	6.962	7.02	3.438	7.989	15.353
24_Jan	24_Jan_SF_Bin3	7.531	5.911	1.716	5.649	11.391
24_Jan	24_Jan_SF_Bin5	3.92	2.16	1.628	6.98	10.53
24_Jan	24_Jan_SF_Bin6	9.453	11.643	4.492	9.266	13.159
24_Jan	24_Jan_SF_Bin7	7.011	5.211	4.035	9.297	13.82
24_Jan	24_Jan_SF_Bin9	4.229	3.806	1.707	6.01	12.652
24_July	24_July_SF_Bin1	5.849	7.55	4.239	8	13.338
24_July	24_July_SF_Bin11	5.842	4.144	4.097	6.909	13.03
24_July	24_July_SF_Bin12	10.221	12.949	1.906	5.862	11.81
24_July	24_July_SF_Bin15	4.055	3.394	2.45	8.966	12.361
24_July	24_July_SF_Bin17	4.842	7.996	4.459	7.898	16.096
24_July	24_July_SF_Bin19	5.614	4.894	3.373	6.861	12.67
24_July	24_July_SF_Bin2	4.4	5.968	3.066	9.695	13.25
24_July	24_July_SF_Bin20	8.711	11.057	3.267	7.766	11.777
24_July	24_July_SF_Bin5	3.92	2.16	1.628	6.98	10.53
24_May	24_May_SF_Bin1	4.185	5.61	2.645	9.429	12.53
24_May	24_May_SF_Bin10	6.305	7.164	4.107	6.534	14.316
24_May	24_May_SF_Bin18	10.633	8.033	4.463	8.984	13.392
24_May	24_May_SF_Bin19	9.494	10.453	3.979	7.264	12.094
24_May	24_May_SF_Bin26	6.045	6.925	3.402	7.899	11.687
24_May	24_May_SF_Bin27	5.821	4.477	1.615	7.675	11.803
24_May	24_May_SF_Bin28	4.453	1.826	2.266	5.832	12.714
24_May	24_May_SF_Bin29	10.752	3.414	3.776	5.039	11.957
24_May	24_May_SF_Bin32	9.402	10.358	1.996	5.48	11.014
24_May	24_May_SF_Bin33	9.827	8.87	2.047	6.634	10.421
24_May	24_May_SF_Bin4	5.499	7.563	4.337	8.207	13.813
24_May	24_May_SF_Bin5	5.374	3.601	3.986	1.093	11.32
24_Oct	24_Oct_SF_Bin1	9.443	12.762	2.608	6.611	13.087
24_Oct	24_Oct_SF_Bin10	2.547	5.786	3.641	4.889	12.002
24_Oct	24_Oct_SF_Bin18	1.324	2.118	1.198	2.539	3.758
24_Oct	24_Oct_SF_Bin19	9.079	8.727	4.236	8.302	16.547
24_Oct	24_Oct_SF_Bin20	4.825	11.658	5.315	7.002	13.111
24_Oct	24_Oct_SF_Bin22	6.949	4.591	4.019	9.297	14.001
24_Oct	24_Oct_SF_Bin23	4.624	4.873	3.322	7.937	12.486
24_Oct	24_Oct_SF_Bin25	1.97	3.882	2.848	8.663	13.347
24_Oct	24_Oct_SF_Bin26	4.399	5.042	2.534	8.373	13.518
24_Oct	24_Oct_SF_Bin27	9.321	10.736	1.942	7.225	10.042
24_Oct	24_Oct_SF_Bin28	4.319	6.026	3.073	9.886	13.617
24_Oct	24_Oct_SF_Bin30	3.325	3.579	3.685	7.112	12.276
24_Oct	24_Oct_SF_Bin31	4.869	6.92	5.377	9.598	12.739
24_Oct	24_Oct_SF_Bin33	8.808	14.945	3.851	9.266	13.13
24_Oct	24_Oct_SF_Bin38	8.538	15.643	2.983	8.056	12.815
24_Oct	24_Oct_SF_Bin4	1.939	2.91	3.778	5.213	11.279
24_Oct	24_Oct_SF_Bin43	6.295	4.623	2.985	8.865	13.861
24_Oct	24_Oct_SF_Bin7	10.292	4.836	4.016	9.423	14.915
24_Oct	24_Oct_SF_Bin8	3.355	2.789	1.186	5.953	9.578
24_Oct	24_Oct_SF_Bin9	4.814	7.731	4.981	8.249	14.321
4_1_Jan	4_1_Jan_SF_Bin11	3.027	5.275	2.488	7.312	12.882
4_1_Jan	4_1_Jan_SF_Bin13	10.02	9.723	0.956	7.255	10.765
4_1_Jan	4_1_Jan_SF_Bin14	4.304	0.588	2.502	7.428	10.987
4_1_Jan	4_1_Jan_SF_Bin16	6.055	9.381	3.855	9.185	12.719
4_1_Jan	4_1_Jan_SF_Bin18	4.134	1.831	1.838	3.682	12.136
4_1_Jan	4_1_Jan_SF_Bin19	4.754	3.512	1.859	7.179	11.103
4_1_Jan	4_1_Jan_SF_Bin21	2.104	1.385	2.461	6.041	10.126
4_1_Jan	4_1_Jan_SF_Bin24	-0.552	4.693	2.805	4.282	12.741
4_1_Jan	4_1_Jan_SF_Bin26	4.63	5.047	3.465	8.905	14.709
4_1_Jan	4_1_Jan_SF_Bin27	3.832	6.096	4.394	6.438	15.815
4_1_Jan	4_1_Jan_SF_Bin28	4.05	13.287	6.26	7.056	15.215
4_1_Jan	4_1_Jan_SF_Bin31	6.847	5.827	2.057	7.255	10.973
4_1_Jan	4_1_Jan_SF_Bin32	5.053	3.354	2.829	9.255	13.735
4_1_Jan	4_1_Jan_SF_Bin33	8.498	5.098	4.22	9.045	14.92
4_1_Jan	4_1_Jan_SF_Bin34	3.507	10.108	4.872	8.919	15.159
4_1_Jan	4_1_Jan_SF_Bin35	8.609	3.477	3.296	7.674	12.892
4_1_Jan	4_1_Jan_SF_Bin36	0.819	1.969	2.373	3.706	8.73
4_1_Jan	4_1_Jan_SF_Bin38	3.691	13.493	-0.115	1.305	6.958
4_1_Jan	4_1_Jan_SF_Bin4	4.174	5.077	4.694	9.253	15.002
4_1_Jan	4_1_Jan_SF_Bin40	8.459	4.881	5.026	8.723	14.781
4_1_Jan	4_1_Jan_SF_Bin41	5.191	5.119	4.766	6.998	15.146
4_1_Jan	4_1_Jan_SF_Bin42	5.307	5.704	4.163	6.705	15.214
4_1_Jan	4_1_Jan_SF_Bin43	2.892	9.079	1.377	8.795	12.493
4_1_Jan	4_1_Jan_SF_Bin44	2.168	3.496	4.236	4.874	14.216
4_1_Jan	4_1_Jan_SF_Bin49	1.894	9.138	2.938	3.122	13.583
4_1_Jan	4_1_Jan_SF_Bin51	4.22	6.271	4.11	5.474	11.961
4_1_Jan	4_1_Jan_SF_Bin53	5.322	5.822	4.389	5.497	15.741
4_1_Jan	4_1_Jan_SF_Bin54	8.369	5.082	5.166	8.635	16.052
4_1_Jan	4_1_Jan_SF_Bin55	1.234	6.983	4.758	3.62	13.473
4_1_Jan	4_1_Jan_SF_Bin56	4.224	3.601	3.997	7.476	13.879
4_1_Jan	4_1_Jan_SF_Bin57	4.84	6.877	2.53	6.616	13.136
4_1_Jan	4_1_Jan_SF_Bin58	3.852	7.334	4.957	3.371	14.964
4_1_Jan	4_1_Jan_SF_Bin59	3.532	7.799	3.642	2.9	12.671
4_1_Jan	4_1_Jan_SF_Bin60	3.409	6.111	4.964	9.146	15.061
4_1_Jan	4_1_Jan_SF_Bin61	3.532	5.81	4.027	2.841	13.062
4_1_Jan	4_1_Jan_SF_Bin63	4.336	5.344	4.603	5.285	13.942
4_1_Jan	4_1_Jan_SF_Bin64	7.016	3.88	2.381	5.581	11.047
4_1_Jan	4_1_Jan_SF_Bin65	4.855	14.645	2.578	5.981	12.354
4_1_Jan	4_1_Jan_SF_Bin67	2.287	5.054	4.877	9.375	15.792
4_1_Jan	4_1_Jan_SF_Bin7	2.828	6.962	3.873	3.431	13.461
4_1_Jan	4_1_Jan_SF_Bin8	2.978	1.661	2.537	8.177	11.224
4_1_July	4_1_July_SF_Bin1	6.331	11.477	1.129	4.23	10.894
4_1_July	4_1_July_SF_Bin12	7.758	2.881	3.001	5.763	10.633
4_1_July	4_1_July_SF_Bin14	6.117	11.25	1.905	6.089	10.895
4_1_July	4_1_July_SF_Bin17	3.251	2.058	1.815	7.471	10.918
4_1_July	4_1_July_SF_Bin20	9.895	12.624	5.337	8.635	14.491
4_1_July	4_1_July_SF_Bin22	4.085	4.08	4.265	3.443	12.044
4_1_July	4_1_July_SF_Bin24	4.459	5.239	3.864	5.072	11.54
4_1_July	4_1_July_SF_Bin25	9.089	5.383	4.68	7.827	12.3
4_1_July	4_1_July_SF_Bin26	8.671	7.677	1.293	0.7	6.973
4_1_July	4_1_July_SF_Bin28	8.938	6.871	4.586	9.803	14.234
4_1_July	4_1_July_SF_Bin29	6.364	5.797	2.464	-0.043	9.104
4_1_July	4_1_July_SF_Bin3	8.1	18.93	3.699	7.551	12.283
4_1_July	4_1_July_SF_Bin30	6.089	4.2	-0.19	6.577	8.446
4_1_July	4_1_July_SF_Bin31	3.748	5.813	6.362	7.389	13.852
4_1_July	4_1_July_SF_Bin33	8.566	9.587	1.42	7.169	11.627
4_1_July	4_1_July_SF_Bin34	3.037	6.091	2.382	5.505	9.182
4_1_July	4_1_July_SF_Bin35	4.512	14.081	0.092	4.793	9.071
4_1_July	4_1_July_SF_Bin37	5.23	27.919	-0.198	1.349	8.231
4_1_July	4_1_July_SF_Bin39	4.984	8.668	0.297	1.116	6.845
4_1_July	4_1_July_SF_Bin41	5.264	19.824	-0.027	0.628	5.015
4_1_July	4_1_July_SF_Bin42	6.048	4.174	0.727	5.286	9.504
4_1_July	4_1_July_SF_Bin43	10.255	9.04	5.067	4.374	11.259
4_1_July	4_1_July_SF_Bin45	6.989	6.714	3.956	7.555	13.491
4_1_July	4_1_July_SF_Bin46	4.263	2.891	3.657	4.207	12.298
4_1_July	4_1_July_SF_Bin47	9.562	14.593	4.861	5.177	14.3
4_1_July	4_1_July_SF_Bin48	5.334	6.072	4.647	6.904	14.025
4_1_July	4_1_July_SF_Bin49	2.375	4.196	2.746	6.278	10.065
4_1_July	4_1_July_SF_Bin50	5.419	5.364	4.163	6.516	15.214
4_1_July	4_1_July_SF_Bin51	3.336	5.283	3.85	5.841	13.61
4_1_July	4_1_July_SF_Bin52	6.334	16.456	3.429	4.74	10.063
4_1_July	4_1_July_SF_Bin53	5.375	5.831	4.277	6.438	15.621
4_1_July	4_1_July_SF_Bin54	5.261	4.524	1.15	3.783	6.942
4_1_July	4_1_July_SF_Bin55	6.222	11.747	1.631	8.182	12.689
4_1_July	4_1_July_SF_Bin56	3.743	3.889	3.959	7.389	13.469
