MAG	GTDB	37mark	CheckM_Comp	CheckM_Cont	GenomeSize_MB	Abundance_CoverM
21_Jan_SF_Bin36	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__JACEMX01;s__	Thaumarchaeota; Nitrosopumilus	90.78	8.74	1.736	0.075
21_May_SF_Bin40	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__JACEMX01;s__	Thaumarchaeota; Nitrosopumilus	66.59	1.94	1.238	0.059
21_Jan_SF_Bin31	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__JACEMX01;s__	Thaumarchaeota; Nitrosopumilus	76.7	0.97	1.298	0.063
21_Jan_SF_Bin51	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__JACEMX01;s__	Thaumarchaeota; Nitrosopumilus	71.84	0.97	1.39	0.056
13_July_SF_Bin33	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum_A;s__	Thaumarchaeota; Nitrosopumilus	95.63	1.94	1.68	0.072
13_May_SF_Bin47	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum_A;s__	Thaumarchaeota; Nitrosopumilus	85.31	2.91	1.273	0.057
13_Jan_SF_Bin40	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	89.81	7.12	1.986	0.107
13_Jan_SF_Bin52	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	75.73	0	1.152	0.127
13_Jan_SF_Bin63	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	73.3	9.71	1.368	0.248
13_May_SF_Bin26	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	80.58	5.9	1.513	0.103
13_May_SF_Bin67	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	95.15	5.83	2.128	0.087
13_May_SF_Bin89	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	100	0.97	1.812	0.130
13_Oct_SF_Bin27	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	79.61	0.97	1.508	0.111
21_Jan_SF_Bin27	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	87.06	5.83	1.561	0.218
21_Jan_SF_Bin57	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	66.67	1.46	1.087	0.334
21_July_SF_Bin24	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	89.73	9.95	2.051	0.139
21_July_SF_Bin26	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	85.44	4.69	1.419	0.415
21_May_SF_Bin28	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	68.5	2.91	1.497	0.439
21_May_SF_Bin41	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	91.3	2.91	1.641	0.198
21_Oct_SF_Bin16	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	94.59	4.85	2.147	0.203
21_Oct_SF_Bin25	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	55.08	1.29	1.283	0.385
21_Oct_SF_Bin27	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	93.2	2.91	1.478	0.413
8_1_Jan_SF_Bin59	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	56.8	0	0.596	0.181
8_1_Jan_SF_Bin66	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	100	7.77	1.655	0.108
8_1_Jan_SF_Bin67	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	85.76	4.37	1.885	0.113
8_1_July_SF_Bin35	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	100	0.97	1.807	0.125
8_1_July_SF_Bin59	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	98.06	2.83	1.587	0.250
8_1_May_SF_Bin10	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	71.2	4.85	1.319	0.082
8_1_May_SF_Bin9	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	80.26	1.05	1.318	0.056
13_July_SF_Bin28	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	87.38	1.94	1.947	0.076
13_July_SF_Bin30	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	66.5	0	1.334	0.107
13_May_SF_Bin55	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	57.28	1.94	0.78	0.073
21_July_SF_Bin12	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	94.17	0.32	1.745	0.201
8_1_Jan_SF_Bin45	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	60.19	0	1.109	0.047
8_1_Oct_SF_Bin45	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	Thaumarchaeota; Nitrosopumilus	78.73	0.8	1.066	0.090
4_1_July_SF_Bin33	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__	Aminicenantes	94.51	9.33	4.298	0.022
8_1_Jan_SF_Bin35	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__	Aminicenantes	82.24	7.26	3.929	0.020
8_1_Oct_SF_Bin67	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__	Aminicenantes	72.42	8.76	3.558	0.020
4_1_July_SF_Bin54	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__SOIA01;s__	Aminicenantes	53.99	0.85	1.483	0.025
8_1_Jan_SF_Bin49	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__SOIA01;s__	Aminicenantes	92.14	5.13	3.511	0.032
8_1_Oct_SF_Bin32	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__SOIA01;s__	Aminicenantes	90.37	6.05	3.495	0.032
4_1_July_SF_Bin30	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__;s__	Aminicenantes	80.43	6.15	3.18	0.036
4_1_July_SF_Bin61	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA8522;g__UBA8522;s__	Aminicenantes	54.02	3.09	3.079	0.035
8_1_Jan_SF_Bin62	d__Bacteria;p__Acidobacteriota;c__B3-B38;o__B3-B38;f__B3-B38;g__Guanabacterium;s__	Aminicenantes	75.64	3.89	2.125	0.034
8_1_Oct_SF_Bin20	d__Bacteria;p__Acidobacteriota;c__B3-B38;o__B3-B38;f__B3-B38;g__Guanabacterium;s__	Aminicenantes	77.78	1.28	2.231	0.034
13_July_SF_Bin26	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__QQUY01;s__	Acidobacteria	70.01	1.12	3.349	0.022
13_May_SF_Bin9	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__QQUY01;s__	Acidobacteria	83.28	1.76	3.537	0.023
13_May_SF_Bin61	d__Bacteria;p__Acidobacteriota;c__Mor1;o__J045;f__J045;g__;s__	Acidobacteria	70.75	6.27	3.171	0.066
21_Jan_SF_Bin44	d__Bacteria;p__Acidobacteriota;c__Mor1;o__Mor1;f__Mor1;g__;s__	Acidobacteria	98.12	2.99	4.185	0.039
21_May_SF_Bin2	d__Bacteria;p__Acidobacteriota;c__Mor1;o__Mor1;f__Mor1;g__;s__	Acidobacteria	82.66	0.9	3.445	0.033
21_May_SF_Bin25	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__FEB-10;g__JACXWA01;s__	Acidobacteria	89.74	8.44	4.531	0.117
13_July_SF_Bin37	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__	Acidobacteria	78.99	2.14	3.672	0.063
13_May_SF_Bin12	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__	Acidobacteria	69.82	0.85	2.692	0.055
13_May_SF_Bin86	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__	Acidobacteria	94.82	1.28	4.492	0.074
21_Jan_SF_Bin62	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__	Acidobacteria	88.49	4.34	3.386	0.045
4_1_Jan_SF_Bin21	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__VFZN01;s__	Acidobacteria	54.39	8.33	4.346	0.065
21_Jan_SF_Bin67	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__	Actinobacteria	94.18	6.41	3.969	0.055
4_1_Jan_SF_Bin58	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__CAIXPF01;g__WHTX01;s__	Actinobacteria	90.3	8.4	5.417	0.075
21_Jan_SF_Bin53	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__SHLQ01;g__;s__	Actinobacteria	70.26	6.22	3.563	0.055
4_1_May_SF_Bin69	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__SHLQ01;g__;s__	Actinobacteria	66.12	1.87	2.852	0.045
4_1_Jan_SF_Bin55	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__SHLQ01;g__JABDJW01;s__	Actinobacteria	94.87	1.38	4.062	0.057
13_May_SF_Bin57	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__SZUA-35;g__CADEDH01;s__	Actinobacteria	94.02	4.7	5.042	0.061
13_May_SF_Bin62	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__SZUA-35;g__CADEDH01;s__	Actinobacteria	72.03	2.56	3.926	0.051
21_Jan_SF_Bin50	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__SZUA-35;g__CADEDH01;s__	Actinobacteria	89.74	5.56	6.353	0.050
4_1_Jan_SF_Bin24	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__SZUA-35;g__CADEDH01;s__	Actinobacteria	65.8	6.84	3.66	0.035
4_1_May_SF_Bin1	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__SZUA-35;g__CADEDH01;s__	Actinobacteria	76.54	3.85	4.391	0.046
4_1_May_SF_Bin50	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__SZUA-35;g__CADEDH01;s__	Actinobacteria	80.44	3.21	3.907	0.037
4_1_Oct_SF_Bin2	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__SZUA-35;g__CADEDH01;s__	Actinobacteria	70.62	3.85	3.482	0.035
8_1_July_SF_Bin52	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__SZUA-35;g__CADEDH01;s__	Actinobacteria	60.45	5.9	3.137	0.038
13_July_SF_Bin48	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__;g__;s__	Actinobacteria	53.7	2.71	1.475	0.043
13_May_SF_Bin73	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__;g__;s__	Actinobacteria	85.64	4.04	2.24	0.051
21_Jan_SF_Bin8	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__;g__;s__	Actinobacteria	79.06	5.98	2.214	0.050
4_1_Jan_SF_Bin7	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__;g__;s__	Actinobacteria	85.16	2.71	4.087	0.037
4_1_May_SF_Bin47	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__;g__;s__	Actinobacteria	83.76	2.71	3.982	0.037
4_1_Oct_SF_Bin17	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__;g__;s__	Actinobacteria	70.23	3.16	3.125	0.033
13_May_SF_Bin59	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__JAENVV01;g__;s__	Actinobacteria	75.69	6.41	3.049	0.047
8_1_Jan_SF_Bin34	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__JAENVV01;g__;s__	Actinobacteria	72.19	3.94	2.533	0.054
13_May_SF_Bin24	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__JAENVV01;g__JAENVV01;s__	Actinobacteria	53.41	3.73	1.706	0.025
8_1_Jan_SF_Bin73	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__JAENVV01;g__JAENVV01;s__	Actinobacteria	88.03	4.27	2.923	0.030
8_1_July_SF_Bin47	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__JAENVV01;g__JAENVV01;s__	Actinobacteria	96.58	4.7	3.083	0.028
13_May_SF_Bin87	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__S012-128;g__;s__	Actinobacteria	51.76	1.28	1.292	0.065
21_Jan_SF_Bin35	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__SHLN01;g__;s__	Actinobacteria	79.06	3.42	2.143	0.046
13_May_SF_Bin97	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__SHLN01;g__SHLN01;s__	Actinobacteria	75.93	9.4	2.529	0.065
13_May_SF_Bin8	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__SZUA-232;g__;s__	Actinobacteria	55.56	2.99	2.303	0.037
13_July_SF_Bin43	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA4744;g__UBA4744;s__	Actinobacteria	94.02	6.51	2.936	0.050
13_May_SF_Bin27	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA4744;g__UBA4744;s__	Actinobacteria	92.74	2.14	3.081	0.055
8_1_July_SF_Bin7	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA4744;g__UBA4744;s__	Actinobacteria	51.72	7.53	1.811	0.045
13_May_SF_Bin46	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__ZC4RG35;g__;s__	Actinobacteria	85	9.4	3.591	0.051
13_July_SF_Bin34	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__ZC4RG35;g__MA-ANB-1;s__	Actinobacteria	65.22	2.74	1.957	0.031
13_May_SF_Bin37	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__ZC4RG35;g__MA-ANB-1;s__	Actinobacteria	60.4	1.36	1.706	0.029
24_May_SF_Bin5	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__;g__;s__	Actinobacteria	54.36	0.99	1.693	0.076
