Genome	Taxonomy	Site	Month	S	C	O	Fe	N
13_May_SF_Bin22	Gammaproteobacteria	13	5	0.55	0.06	0.47	0.87	0.67
13_May_SF_Bin23	Ignavibacteriae	13	5	0.22	0.02	0.14	0.69	0.37
13_May_SF_Bin24	Actinobacteria	13	5	0.12	0.02	0.15	0.32	0.49
13_May_SF_Bin26	Thaumarchaeota	13	5	0.12	0.07	0.31	0.35	0.35
13_May_SF_Bin27	Actinobacteria	13	5	0.21	0.03	0.34	0.75	0.6
13_May_SF_Bin3	Gemmatimonadetes	13	5	0.37	0.02	0.23	0.52	0.54
13_May_SF_Bin31	Gemmatimonadetes	13	5	0.37	0.04	0.43	0.51	0.67
13_May_SF_Bin32	Deltaproteobacteria	13	5	0.06	0.07	0.43	0.73	0.73
13_May_SF_Bin34	Alphaproteobacteria	13	5	0.09	0.03	0.54	0.88	0.71
13_May_SF_Bin35	Actinobacteria	13	5	0.02	0.05	0.4	0.53	0.6
13_May_SF_Bin37	Actinobacteria	13	5	0.09	0.02	0.31	0.66	0.51
13_May_SF_Bin38	Betaproteobacteria	13	5	0.05	0.03	0.22	0.69	0.5
13_May_SF_Bin4	Bacteroidetes	13	5	0.04	0.04	0.47	0.6	0.53
13_May_SF_Bin40	Alphaproteobacteria	13	5	0.31	0.04	0.34	0.76	0.71
13_May_SF_Bin41	Gammaproteobacteria	13	5	0.43	0.09	0.38	0.86	0.67
13_May_SF_Bin42	Nitrospinae	13	5	0.08	0.04	0.21	0.47	0.42
13_May_SF_Bin44	Gammaproteobacteria	13	5	0.08	0.01	0.35	0.55	0.55
13_May_SF_Bin45	Gemmatimonadetes	13	5	0.2	0.04	0.13	0.65	0.5
13_May_SF_Bin46	Actinobacteria	13	5	0.3	0.05	0.34	0.63	0.66
13_May_SF_Bin47	Thaumarchaeota	13	5	0.18	0.06	0.29	0.14	0.4
13_May_SF_Bin48	Delphibacteria	13	5	0.12	0.04	0.27	0.71	0.49
13_May_SF_Bin5	Alphaproteobacteria	13	5	0.11	0.04	0.37	0.6	0.53
13_May_SF_Bin52	Gammaproteobacteria	13	5	0.29	0.04	0.43	0.88	0.62
13_May_SF_Bin53	Gammaproteobacteria	13	5	0.62	0.12	0.39	0.89	0.73
13_May_SF_Bin54	Thaumarchaeota	13	5	0.15	0.06	0.3	0.26	0.42
13_May_SF_Bin55	Thaumarchaeota	13	5	0.05	0.01	0.28	0.11	0.25
13_May_SF_Bin57	Actinobacteria	13	5	0.2	0.12	0.26	0.25	0.57
13_May_SF_Bin58	Gemmatimonadetes	13	5	0.32	0.04	0.28	0.72	0.63
13_May_SF_Bin59	Actinobacteria	13	5	0.31	0.06	0.28	0.53	0.57
13_May_SF_Bin60	Betaproteobacteria	13	5	0.23	0.05	0.45	0.91	0.7
13_May_SF_Bin61	Acidobacteria	13	5	0.49	0.06	0.24	0.72	0.55
13_May_SF_Bin62	Actinobacteria	13	5	0.27	0.09	0.32	0.29	0.59
13_May_SF_Bin64	Gammaproteobacteria	13	5	0.43	0.19	0.37	0.67	0.66
13_May_SF_Bin65	Gammaproteobacteria	13	5	0.43	0.02	0.33	0.88	0.56
13_May_SF_Bin66	Gemmatimonadetes	13	5	0.34	0.02	0.16	0.65	0.51
13_May_SF_Bin67	Thaumarchaeota	13	5	0.19	0.08	0.32	0.25	0.38
13_May_SF_Bin7	Betaproteobacteria	13	5	0.5	0.06	0.49	0.76	0.69
13_May_SF_Bin71	Gammaproteobacteria	13	5	0.55	0.05	0.42	0.82	0.66
13_May_SF_Bin72	Gammaproteobacteria	13	5	0.31	0.05	0.4	0.66	0.66
13_May_SF_Bin73	Actinobacteria	13	5	0.3	0.03	0.22	0.64	0.56
13_May_SF_Bin75	Gammaproteobacteria	13	5	0.16	0.02	0.14	0.75	0.57
13_May_SF_Bin78	Gemmatimonadetes	13	5	0.16	0.03	0.36	0.7	0.54
13_May_SF_Bin79	Gemmatimonadetes	13	5	0.29	0.05	0.26	0.82	0.6
13_May_SF_Bin8	Actinobacteria	13	5	0.21	0.08	0.33	0.64	0.6
13_May_SF_Bin80	Gammaproteobacteria	13	5	0.43	0.14	0.47	0.91	0.72
13_May_SF_Bin81	Alphaproteobacteria	13	5	0.34	0.22	0.39	0.71	0.75
13_May_SF_Bin84	Gammaproteobacteria	13	5	0.32	0.08	0.42	0.64	0.67
13_May_SF_Bin86	Acidobacteria	13	5	0.26	0.03	0.19	0.66	0.54
13_May_SF_Bin87	Actinobacteria	13	5	0.13	0.03	0.08	0.68	0.39
13_May_SF_Bin88	Gammaproteobacteria	13	5	0.68	0.09	0.5	0.59	0.62
13_May_SF_Bin89	Thaumarchaeota	13	5	0.18	0.07	0.32	0.25	0.43
13_May_SF_Bin9	Acidobacteria	13	5	0.29	0.04	0.11	0.59	0.5
13_May_SF_Bin90	Deltaproteobacteria	13	5	0.31	0.12	0.26	0.74	0.59
13_May_SF_Bin91	Gammaproteobacteria	13	5	0.4	0.09	0.4	0.87	0.68
13_May_SF_Bin92	Gammaproteobacteria	13	5	0.4	0.09	0.39	0.82	0.66
13_May_SF_Bin93	Gammaproteobacteria	13	5	0.11	0.08	0.37	0.76	0.58
13_May_SF_Bin97	Actinobacteria	13	5	0.36	0.03	0.27	0.7	0.55
13_May_SF_Bin98	Gammaproteobacteria	13	5	0.4	0.08	0.36	0.86	0.63
13_Oct_SF_Bin15	Deltaproteobacteria	13	10	0.61	0.15	0.24	0.74	0.61
13_Oct_SF_Bin17	Gammaproteobacteria	13	10	0.41	0.07	0.39	0.9	0.62
13_Oct_SF_Bin18	Gammaproteobacteria	13	10	0.23	0.03	0.32	0.59	0.52
13_Oct_SF_Bin20	Gammaproteobacteria	13	10	0.37	0.13	0.39	0.73	0.59
13_Oct_SF_Bin22	Gammaproteobacteria	13	10	0.34	0.04	0.34	0.87	0.56
13_Oct_SF_Bin27	Thaumarchaeota	13	10	0.05	0.05	0.34	0.22	0.43
13_Oct_SF_Bin29	Deltaproteobacteria	13	10	0.58	0.15	0.18	0.57	0.54
13_Oct_SF_Bin3	Gemmatimonadetes	13	10	0.45	0.04	0.28	0.72	0.63
13_Oct_SF_Bin32	Deltaproteobacteria	13	10	0.63	0.15	0.33	0.85	0.64
13_Oct_SF_Bin33	Deltaproteobacteria	13	10	0.6	0.16	0.25	0.68	0.51
13_Oct_SF_Bin5	Deltaproteobacteria	13	10	0.29	0.11	0.47	0.78	0.61
13_Oct_SF_Bin7	Gammaproteobacteria	13	10	0.58	0.05	0.38	0.77	0.59
21_Jan_SF_Bin1	Nitrospinae	21	1	0.31	0.11	0.45	0.78	0.75
21_Jan_SF_Bin10	Alphaproteobacteria	21	1	0.24	0.09	0.38	0.69	0.73
21_Jan_SF_Bin11	Planctomycetes	21	1	0.1	0.04	0.39	0.48	0.55
21_Jan_SF_Bin12	Alphaproteobacteria	21	1	0.38	0.05	0.42	0.46	0.72
21_Jan_SF_Bin14	Gammaproteobacteria	21	1	0.42	0.04	0.24	0.7	0.5
21_Jan_SF_Bin15	Gammaproteobacteria	21	1	0.29	0.04	0.31	0.68	0.55
21_Jan_SF_Bin2	Planctomycetes	21	1	0.09	0.02	0.06	0.59	0.46
21_Jan_SF_Bin22	Alphaproteobacteria	21	1	0.25	0.1	0.46	0.6	0.72
21_Jan_SF_Bin23	Gammaproteobacteria	21	1	0.28	0.04	0.33	0.55	0.6
21_Jan_SF_Bin24	Alphaproteobacteria	21	1	0.36	0.07	0.45	0.65	0.76
21_Jan_SF_Bin27	Thaumarchaeota	21	1	0.01	0.03	0.31	0.26	0.45
21_Jan_SF_Bin28	Deltaproteobacteria	21	1	0.1	0.07	0.43	0.45	0.66
21_Jan_SF_Bin30	Gammaproteobacteria	21	1	0.44	0.09	0.38	0.7	0.7
21_Jan_SF_Bin31	Thaumarchaeota	21	1	0.15	0.05	0.07	0.19	0.15
21_Jan_SF_Bin34	Gammaproteobacteria	21	1	0.39	0.15	0.56	0.43	0.66
21_Jan_SF_Bin35	Actinobacteria	21	1	0.26	0.03	0.18	0.5	0.49
21_Jan_SF_Bin36	Thaumarchaeota	21	1	0.16	0.07	0.31	0.28	0.42
21_Jan_SF_Bin37	Gammaproteobacteria	21	1	0.41	0.09	0.38	0.59	0.7
21_Jan_SF_Bin38	Gammaproteobacteria	21	1	0.53	0.07	0.42	0.89	0.7
21_Jan_SF_Bin39	Gammaproteobacteria	21	1	0.41	0.16	0.33	0.66	0.66
21_Jan_SF_Bin4	Bacteroidetes	21	1	0.23	0.04	0.47	0.59	0.53
21_Jan_SF_Bin40	Gammaproteobacteria	21	1	0.39	0.1	0.39	0.75	0.69
21_Jan_SF_Bin41	Gammaproteobacteria	21	1	0.17	0.06	0.42	0.88	0.59
21_Jan_SF_Bin42	Gammaproteobacteria	21	1	0.45	0.03	0.32	0.84	0.48
21_Jan_SF_Bin44	Acidobacteria	21	1	0.27	0.03	0.17	0.73	0.52
21_Jan_SF_Bin46	Deltaproteobacteria	21	1	0.1	0.06	0.46	0.58	0.69
21_Jan_SF_Bin47	Gammaproteobacteria	21	1	0.56	0.1	0.41	0.83	0.72
21_Jan_SF_Bin48	Bacteroidetes	21	1	0.39	0.07	0.47	0.43	0.6
21_Jan_SF_Bin49	Deltaproteobacteria	21	1	0.11	0.03	0.41	0.56	0.53
21_Jan_SF_Bin5	Chloroflexi	21	1	0.25	0.06	0.23	0.49	0.61
21_Jan_SF_Bin50	Actinobacteria	21	1	0.2	0.1	0.45	0.23	0.67
21_Jan_SF_Bin51	Thaumarchaeota	21	1	0.03	0.07	0.33	0.25	0.39
21_Jan_SF_Bin52	Gammaproteobacteria	21	1	0.24	0.13	0.48	0.72	0.7
21_Jan_SF_Bin53	Actinobacteria	21	1	0.28	0.05	0.41	0.32	0.62
21_Jan_SF_Bin54	Gammaproteobacteria	21	1	0.44	0.21	0.38	0.54	0.66
21_Jan_SF_Bin55	Alphaproteobacteria	21	1	0.2	0.03	0.48	0.47	0.72
21_Jan_SF_Bin56	Bacteroidetes	21	1	0.02	0.01	0.25	0.58	0.48
21_Jan_SF_Bin57	Thaumarchaeota	21	1	0.12	0.06	0.25	0.2	0.26
21_Jan_SF_Bin59	Gammaproteobacteria	21	1	0.34	0.05	0.33	0.81	0.68
21_Jan_SF_Bin60	Alphaproteobacteria	21	1	0.01	0.02	0.35	0.4	0.59
21_Jan_SF_Bin62	Acidobacteria	21	1	0.44	0.02	0.16	0.53	0.55
21_Jan_SF_Bin67	Actinobacteria	21	1	0.27	0.12	0.36	0.23	0.61
21_Jan_SF_Bin68	Gammaproteobacteria	21	1	0.32	0.06	0.31	0.65	0.59
21_Jan_SF_Bin69	Gammaproteobacteria	21	1	0.45	0.11	0.06	0.78	0.15
21_Jan_SF_Bin71	Planctomycetes	21	1	0.28	0.16	0.33	0.63	0.62
21_Jan_SF_Bin72	Actinobacteria	21	1	0.03	0.04	0.39	0.45	0.48
21_Jan_SF_Bin73	Deltaproteobacteria	21	1	0.04	0.03	0.34	0.4	0.61
21_Jan_SF_Bin74	Gemmatimonadetes	21	1	0.16	0.02	0.24	0.53	0.53
21_Jan_SF_Bin8	Actinobacteria	21	1	0.44	0.03	0.11	0.33	0.48
21_Jan_SF_Bin9	Alphaproteobacteria	21	1	0.28	0.03	0.34	0.56	0.72
21_July_SF_Bin1	Deltaproteobacteria	21	7	0.65	0.15	0.34	0.85	0.64
21_July_SF_Bin10	Gammaproteobacteria	21	7	0.38	0.05	0.35	0.84	0.6
21_July_SF_Bin12	Thaumarchaeota	21	7	0.13	0.07	0.2	0.2	0.42
21_July_SF_Bin13	Gammaproteobacteria	21	7	0.52	0.06	0.41	0.89	0.66
21_July_SF_Bin14	Nitrospirae	21	7	0.16	0.05	0.28	0.59	0.49
21_July_SF_Bin16	Deltaproteobacteria	21	7	0.51	0.15	0.08	0.52	0.45
21_July_SF_Bin19	Gammaproteobacteria	21	7	0.27	0.03	0.29	0.54	0.5
21_July_SF_Bin2	Deltaproteobacteria	21	7	0.63	0.14	0.2	0.53	0.47
21_July_SF_Bin22	Gammaproteobacteria	21	7	0.21	0.04	0.27	0.88	0.49
21_July_SF_Bin24	Thaumarchaeota	21	7	0.18	0.08	0.23	0.2	0.36
21_July_SF_Bin26	Thaumarchaeota	21	7	0.18	0.07	0.31	0.24	0.38
21_May_SF_Bin10	Bacteroidetes	21	5	0.04	0.04	0.2	0.42	0.42
21_May_SF_Bin2	Acidobacteria	21	5	0.22	0.02	0.15	0.58	0.48
21_May_SF_Bin20	Deltaproteobacteria	21	5	0.53	0.13	0.19	0.6	0.55
21_May_SF_Bin21	Gammaproteobacteria	21	5	0.38	0.07	0.42	0.88	0.66
21_May_SF_Bin22	Deltaproteobacteria	21	5	0.3	0.1	0.46	0.79	0.66
21_May_SF_Bin23	Deltaproteobacteria	21	5	0.13	0.08	0.32	0.56	0.56
21_May_SF_Bin25	Acidobacteria	21	5	0.56	0.04	0.18	0.69	0.54
21_May_SF_Bin26	Gammaproteobacteria	21	5	0.36	0.05	0.37	0.84	0.62
21_May_SF_Bin27	Gammaproteobacteria	21	5	0.63	0.17	0.42	0.66	0.59
21_May_SF_Bin28	Thaumarchaeota	21	5	0.14	0.05	0.31	0.16	0.4
21_May_SF_Bin30	Deltaproteobacteria	21	5	0.58	0.16	0.19	0.66	0.52
21_May_SF_Bin32	Deltaproteobacteria	21	5	0.63	0.19	0.29	0.66	0.58
21_May_SF_Bin33	Alphaproteobacteria	21	5	0.46	0.09	0.37	0.77	0.65
21_May_SF_Bin35	Gammaproteobacteria	21	5	0.31	0.05	0.21	0.63	0.61
21_May_SF_Bin39	Gammaproteobacteria	21	5	0.44	0.06	0.38	0.89	0.63
21_May_SF_Bin40	Thaumarchaeota	21	5	0.15	0.06	0.36	0.28	0.37
21_May_SF_Bin41	Thaumarchaeota	21	5	0.14	0.07	0.2	0.03	0.39
21_May_SF_Bin5	Gammaproteobacteria	21	5	0.28	0.07	0.29	0.8	0.59
21_May_SF_Bin9	Deltaproteobacteria	21	5	0.63	0.15	0.34	0.85	0.62
21_Oct_SF_Bin11	Deltaproteobacteria	21	10	0.09	0.07	0.46	0.72	0.69
21_Oct_SF_Bin13	Gammaproteobacteria	21	10	0.11	0.05	0.29	0.85	0.61
21_Oct_SF_Bin14	Deltaproteobacteria	21	10	0.5	0.19	0.27	0.88	0.63
21_Oct_SF_Bin16	Thaumarchaeota	21	10	0.13	0.06	0.36	0.3	0.49
21_Oct_SF_Bin17	Deltaproteobacteria	21	10	0.62	0.13	0.34	0.85	0.6
21_Oct_SF_Bin18	Deltaproteobacteria	21	10	0.59	0.12	0.19	0.68	0.51
21_Oct_SF_Bin2	Gammaproteobacteria	21	10	0.44	0.06	0.44	0.74	0.53
21_Oct_SF_Bin23	Gammaproteobacteria	21	10	0.4	0.08	0.31	0.55	0.66
21_Oct_SF_Bin24	Deltaproteobacteria	21	10	0.6	0.13	0.28	0.58	0.6
21_Oct_SF_Bin25	Thaumarchaeota	21	10	0.08	0.03	0.35	0.22	0.28
21_Oct_SF_Bin27	Thaumarchaeota	21	10	0.19	0.07	0.38	0.26	0.42
21_Oct_SF_Bin28	Gammaproteobacteria	21	10	0.47	0.04	0.37	0.7	0.53
21_Oct_SF_Bin29	Gammaproteobacteria	21	10	0.44	0.06	0.37	0.89	0.58
24_Jan_SF_Bin10	Deltaproteobacteria	24	1	0.54	0.16	0.33	0.77	0.61
24_Jan_SF_Bin12	Deltaproteobacteria	24	1	0.51	0.17	0.18	0.78	0.58
24_Jan_SF_Bin13	Deltaproteobacteria	24	1	0.63	0.18	0.29	0.67	0.52
24_Jan_SF_Bin14	Gammaproteobacteria	24	1	0.56	0.05	0.3	0.89	0.53
24_Jan_SF_Bin17	Deltaproteobacteria	24	1	0.62	0.18	0.24	0.6	0.61
24_Jan_SF_Bin20	Deltaproteobacteria	24	1	0.43	0.11	0.15	0.48	0.34
24_Jan_SF_Bin23	Alphaproteobacteria	24	1	0.43	0.08	0.32	0.76	0.7
24_Jan_SF_Bin3	Gammaproteobacteria	24	1	0.47	0.07	0.16	0.54	0.52
24_Jan_SF_Bin5	Zixibacteria	24	1	0.24	0.03	0.15	0.67	0.48
24_Jan_SF_Bin6	Gammaproteobacteria	24	1	0.59	0.14	0.42	0.89	0.6
24_Jan_SF_Bin7	Gammaproteobacteria	24	1	0.44	0.06	0.38	0.89	0.63
24_Jan_SF_Bin9	Gammaproteobacteria	24	1	0.26	0.04	0.16	0.57	0.57
24_July_SF_Bin1	Deltaproteobacteria	24	7	0.37	0.09	0.4	0.76	0.6
24_July_SF_Bin11	Gammaproteobacteria	24	7	0.36	0.05	0.38	0.66	0.59
24_July_SF_Bin12	Deltaproteobacteria	24	7	0.64	0.15	0.18	0.56	0.53
24_July_SF_Bin15	Gammaproteobacteria	24	7	0.25	0.04	0.23	0.86	0.56
24_July_SF_Bin17	Alphaproteobacteria	24	7	0.3	0.09	0.42	0.75	0.73
24_July_SF_Bin19	Gammaproteobacteria	24	7	0.35	0.06	0.32	0.66	0.57
24_July_SF_Bin2	Gammaproteobacteria	24	7	0.27	0.07	0.29	0.93	0.6
24_July_SF_Bin20	Gammaproteobacteria	24	7	0.54	0.13	0.31	0.74	0.53
24_July_SF_Bin5	Zixibacteria	24	7	0.24	0.03	0.15	0.67	0.48
24_May_SF_Bin1	Gammaproteobacteria	24	5	0.26	0.07	0.25	0.9	0.57
24_May_SF_Bin10	Deltaproteobacteria	24	5	0.39	0.08	0.38	0.62	0.65
24_May_SF_Bin18	Gammaproteobacteria	24	5	0.66	0.09	0.42	0.86	0.61
24_May_SF_Bin19	Gammaproteobacteria	24	5	0.59	0.12	0.37	0.69	0.55
24_May_SF_Bin26	Gammaproteobacteria	24	5	0.38	0.08	0.32	0.75	0.53
24_May_SF_Bin27	Chloroflexi	24	5	0.36	0.05	0.15	0.73	0.53
24_May_SF_Bin28	Gammaproteobacteria	24	5	0.28	0.02	0.21	0.56	0.58
24_May_SF_Bin29	Gammaproteobacteria	24	5	0.67	0.04	0.35	0.48	0.54
24_May_SF_Bin32	Deltaproteobacteria	24	5	0.59	0.12	0.19	0.52	0.5
24_May_SF_Bin33	Deltaproteobacteria	24	5	0.61	0.1	0.19	0.63	0.47
24_May_SF_Bin4	Deltaproteobacteria	24	5	0.34	0.09	0.41	0.78	0.63
24_May_SF_Bin5	Actinobacteria	24	5	0.34	0.04	0.37	0.1	0.51
24_Oct_SF_Bin1	Deltaproteobacteria	24	10	0.59	0.15	0.24	0.63	0.59
24_Oct_SF_Bin10	Gammaproteobacteria	24	10	0.16	0.07	0.34	0.47	0.54
24_Oct_SF_Bin18	Kiritimatiellaeota	24	10	0.08	0.02	0.11	0.24	0.17
24_Oct_SF_Bin19	Alphaproteobacteria	24	10	0.57	0.1	0.4	0.79	0.75
24_Oct_SF_Bin20	Deltaproteobacteria	24	10	0.3	0.14	0.5	0.67	0.59
24_Oct_SF_Bin22	Gammaproteobacteria	24	10	0.43	0.05	0.38	0.89	0.63
24_Oct_SF_Bin23	Gammaproteobacteria	24	10	0.29	0.06	0.31	0.76	0.57
24_Oct_SF_Bin25	Gammaproteobacteria	24	10	0.12	0.05	0.27	0.83	0.6
24_Oct_SF_Bin26	Gammaproteobacteria	24	10	0.27	0.06	0.24	0.8	0.61
24_Oct_SF_Bin27	Deltaproteobacteria	24	10	0.58	0.13	0.18	0.69	0.45
24_Oct_SF_Bin28	Gammaproteobacteria	24	10	0.27	0.07	0.29	0.94	0.62
24_Oct_SF_Bin30	Gammaproteobacteria	24	10	0.21	0.04	0.34	0.68	0.56
24_Oct_SF_Bin31	Deltaproteobacteria	24	10	0.3	0.08	0.5	0.92	0.58
24_Oct_SF_Bin33	Gammaproteobacteria	24	10	0.55	0.18	0.36	0.89	0.59
24_Oct_SF_Bin38	Deltaproteobacteria	24	10	0.53	0.18	0.28	0.77	0.58
24_Oct_SF_Bin4	Actinobacteria	24	10	0.12	0.03	0.35	0.5	0.51
24_Oct_SF_Bin43	Gammaproteobacteria	24	10	0.39	0.05	0.28	0.85	0.63
24_Oct_SF_Bin7	Gammaproteobacteria	24	10	0.64	0.06	0.38	0.9	0.68
24_Oct_SF_Bin8	Zixibacteria	24	10	0.21	0.03	0.11	0.57	0.43
24_Oct_SF_Bin9	Deltaproteobacteria	24	10	0.3	0.09	0.47	0.79	0.65
4_1_Jan_SF_Bin11	Gammaproteobacteria	4_1	1	0.19	0.06	0.23	0.7	0.58
4_1_Jan_SF_Bin13	Nitrospirae	4_1	1	0.63	0.11	0.09	0.69	0.49
4_1_Jan_SF_Bin14	Ignavibacteriae	4_1	1	0.27	0.01	0.23	0.71	0.5
4_1_Jan_SF_Bin16	Nitrospirae	4_1	1	0.38	0.11	0.36	0.88	0.58
4_1_Jan_SF_Bin18	Actinobacteria	4_1	1	0.26	0.02	0.17	0.35	0.55
4_1_Jan_SF_Bin19	Delphibacteria	4_1	1	0.3	0.04	0.17	0.69	0.5
4_1_Jan_SF_Bin21	Acidobacteria	4_1	1	0.13	0.02	0.23	0.58	0.46
4_1_Jan_SF_Bin24	Actinobacteria	4_1	1	0.08	0.05	0.26	0.41	0.58
4_1_Jan_SF_Bin26	Gammaproteobacteria	4_1	1	0.29	0.06	0.32	0.85	0.67
4_1_Jan_SF_Bin27	Nitrospirae	4_1	1	0.24	0.07	0.41	0.62	0.72
